index,Name,NACE code,Last avail. year,Year,Book Value per share USD,Capital expenditure per share USD,Cash flow USD,Current ratio (x),Dividends per share USD,Market capitalisation (mil) m USD,Market price - high USD,Market price - low USD,Market price - open USD,Market price - year end USD,Nominal value,Number of employees,Operating profit per share USD,Operating revenue (Turnover) USD,Operating revenue (Turnover) per share USD,P/L before tax USD,Net income,Profit margin (%),ROCE using P/L before tax (%),ROE using P/L before tax (%),Shareholders funds USD,Shares outstanding,Solvency ratio (Asset based) (%),Total assets USD,Working Capital per share USD,Market price - year(+1) end USD,Dividend yield,Return,logR,Ticker,Yf Market price,Yf Market price - year(+1),Yf Return,Yf logR
80437,AGROMINO A/S,111,2018,2017,2.17,,6091.0,1.46,0.0,40.79,3.05,1.89,1.97,2.36,1.44,879.0,0.11,37929.0,2.2,4262.0,4138.0,11.24,14.46,11.39,37415.0,17256.0,66.71,56085.0,0.82,1.89,0.0,-0.19915254237288127,-0.22208478996596773,AGRO.ST,17.0,18.5,0.08823529411764706,0.08455738802806298
80439,AVENSIA AB,8552,2018,2017,0.11,,910.0,1.63,0.02,35.08,1.46,0.96,1.08,0.99,1.0,141.0,0.03,20495.0,0.58,1036.0,726.0,5.05,27.1,26.97,3841.0,35544.0,45.74,8397.0,,1.3,0.020202020202020204,0.3131313131313132,0.2724146003209925,AVEN.ST,9.350000381469727,8.479999542236326,-0.0930482143035638,-0.09766598827725087
80441,NEPA AB,5829,2018,2017,0.85,,-2096.0,1.56,0.0,61.83,16.9,8.32,14.01,8.65,,238.0,-0.34,26375.0,3.69,-2500.0,-2502.0,-9.48,-39.57,-40.99,6098.0,7148.0,49.36,12356.0,,6.45,0.0,-0.2543352601156069,-0.2934791901361068,NEPA.ST,100.5,74.0,-0.263681592039801,-0.3060926342949607
80443,FIREFLY AB,2630,2018,2017,0.84,,1777.0,2.4,0.17,26.18,5.48,4.0,4.06,4.36,0.5,69.0,0.38,25301.0,4.22,1642.0,1274.0,6.49,21.08,32.55,5043.0,6001.0,39.58,12743.0,1.21,4.59,0.0389908256880734,0.052752293577981536,0.0514079667115108,FIRE.ST,36.599998474121094,40.0,0.09289622042697512,0.08883125539729718
80445,EDGEWARE AB,6190,2018,2017,0.99,,2351.0,4.06,0.0,115.3,6.97,3.5,3.52,3.84,,112.0,0.05,28850.0,0.96,1389.0,914.0,4.81,4.82,4.66,29812.0,30043.0,78.51,37975.0,0.27,1.36,0.0,-0.6458333333333333,-1.0379876668516748,EDGE.ST,37.79999923706055,16.319999694824222,-0.5682539676132196,-0.839917751605494
80446,PRECIO FISHBONE AB,6209,2018,2017,1.27,,1714.0,2.08,0.15,21.08,2.36,1.9,1.9,2.3,,215.0,0.21,24150.0,2.64,1868.0,1330.0,7.74,15.11,16.07,11629.0,9156.0,69.47,16740.0,,2.9,0.06521739130434782,0.2608695652173913,0.2318016140573244,PRCO-B.ST,17.799999237060547,19.75,0.10955060935505254,0.10395507691085927
80447,HEDERA GROUP AB,8621,2018,2017,0.23,,284.0,0.86,0.0,6.0,3.5,1.52,2.19,1.58,,14.0,0.11,18957.0,5.0,336.0,282.0,1.77,18.26,38.87,864.0,3791.0,16.8,5143.0,,1.54,0.0,-0.025316455696202552,-0.02564243061333767,HEGR.ST,24.65279960632324,12.523599624633787,-0.4920009157328489,-0.6772756340289984
80451,SAXLUND GROUP AB,2829,2018,2017,0.34,,-4627.0,1.14,0.0,7.39,1.88,0.25,1.83,0.29,0.1,120.0,-0.16,45298.0,1.77,-4709.0,-5119.0,-10.4,-35.02,-53.94,8730.0,25597.0,20.92,41732.0,0.58,0.01,0.0,-0.9655172413793104,-3.3672958299864737,SAXG.ST,2.5851099491119385,0.5959600210189819,-0.7694643428130739,-1.467349733555338
80456,NILSSON SPECIAL VEHICLES AB,2910,2018,2017,1.62,,-603.0,1.3,0.0,4.7,4.81,1.58,4.61,1.6,,62.0,-0.5,19202.0,6.55,-1608.0,-1189.0,-8.38,-19.99,-33.94,4739.0,2933.0,34.07,13907.0,1.52,1.04,0.0,-0.35000000000000003,-0.4307829160924542,NILS.ST,30.10420036315918,15.600000381469727,-0.4817998753236892,-0.6573937702591917
80457,NET GAMING EUROPE AB,9329,2018,2017,,,912.0,1.51,0.0,,,,,,,72.0,,21053.0,,2540.0,739.0,12.06,20.99,32.97,7703.0,,10.58,72827.0,,1.09,,,,NETG.ST,9.75,9.579999923706056,-0.017435905260917466,-0.017589700990864002
80458,TAGMASTER AB,2611,2018,2017,0.06,,2967.0,2.19,0.0,40.48,0.35,0.14,0.15,0.2,0.1,95.0,0.01,23849.0,0.12,1732.0,2087.0,7.26,11.29,14.7,11785.0,201389.0,51.77,22765.0,0.04,0.13,0.0,-0.35000000000000003,-0.4307829160924542,TAGM-B.ST,1.5900000333786009,1.9049999713897705,0.19811316440152776,0.18074795633520016
80459,ADDERACARE AB,6619,2018,2017,0.62,,1162.0,1.27,0.0,17.92,2.25,1.27,1.71,1.33,,47.0,0.07,15607.0,1.16,748.0,541.0,4.79,7.05,9.0,8307.0,13497.0,46.4,17901.0,0.32,0.64,0.0,-0.5187969924812029,-0.731466044862082,ADDERA.ST,12.929499626159668,10.0,-0.2265748645239561,-0.256926400368028
80460,MIPS AB,3250,2018,2017,1.06,,2066.0,10.34,0.0,157.97,10.29,5.79,6.7,6.24,,29.0,0.1,15322.0,0.61,2485.0,1927.0,16.22,9.31,9.25,26873.0,25300.0,91.08,29505.0,0.12,12.15,0.0,0.9471153846153846,0.6663489874052212,MIPS.ST,49.29999923706055,49.75,0.009127804663355282,0.009086398031402874
80461,C-RAD AB,2660,2018,2017,0.3,,-779.0,1.72,0.0,98.85,4.81,1.36,1.47,3.45,,49.0,-0.04,16274.0,0.57,-1329.0,-1329.0,-8.17,-13.99,-15.27,8700.0,28669.0,60.49,14383.0,0.15,2.88,0.0,-0.1652173913043479,-0.18058393689541388,CRAD-B.ST,14.75,30.54999923706055,1.0711863889532574,0.7281215778583071
80463,ALELION ENERGY SYSTEMS AB,2720,2018,2017,0.27,,-2851.0,3.16,0.0,38.91,1.55,0.72,1.27,0.79,,25.0,-0.07,16808.0,0.34,-3740.0,-3740.0,-22.25,-25.43,-28.63,13061.0,49128.0,70.7,18473.0,0.14,0.94,0.0,0.18987341772151886,0.17384692980298233,ALELIO.ST,6.054780006408691,6.522930145263673,0.07731909967983415,0.07447563997261385
80464,XVIVO PERFUSION AB,3250,2018,2017,2.35,,2581.0,8.57,0.0,299.94,13.16,9.53,11.03,11.45,,29.0,0.03,18086.0,0.69,908.0,763.0,5.02,1.5,1.48,61444.0,26190.0,93.65,65612.0,0.21,14.74,0.0,0.2873362445414848,0.252575156760942,XVIVO.ST,88.25,86.0,-0.025495750708215296,-0.025826399559898426
80465,PRECOMP SOLUTIONS AB,2599,2018,2017,0.18,,-458.0,0.96,0.0,2.23,0.49,0.2,0.47,0.23,,93.0,-0.05,21137.0,2.14,-893.0,-880.0,-4.22,-13.73,-50.32,1774.0,9895.0,14.02,12660.0,0.43,0.25,0.0,0.08695652173913039,0.083381608939051,PCOM-B.ST,3.150000095367432,1.940000057220459,-0.3841269846075456,-0.48471448054259797
80467,ADCITYMEDIA AB,7311,2018,2017,0.35,,2285.0,1.13,0.04,179.42,20.59,10.2,14.74,13.16,,55.0,0.05,14878.0,1.09,721.0,269.0,4.85,9.05,14.94,4828.0,13636.0,35.97,13423.0,0.05,12.84,0.00303951367781155,-0.024316109422492425,-0.02461662763535603,ACM.ST,134.25,125.5,-0.06517690875232775,-0.06739797481713547
80468,SKANE-MOLLAN AB,1061,2018,2017,15.73,,2623.0,6.23,1.34,54.08,52.14,44.16,46.05,49.16,10.0,25.0,1.54,19692.0,17.9,1704.0,1298.0,8.65,,9.85,17304.0,1100.0,84.33,20520.0,4.56,43.99,0.02725793327908869,-0.10516680227827492,-0.11111794933720556,SKMO.ST,379.0,420.0,0.10817941952506596,0.10271850619498772
80470,IMAGE SYSTEMS AB,2630,2018,2017,0.23,,2327.0,1.35,0.0,9.87,0.35,0.21,0.27,0.26,0.1,68.0,0.0,16277.0,0.43,37.0,1425.0,0.23,1.49,0.41,8979.0,38232.0,66.46,13511.0,0.06,0.16,0.0,-0.38461538461538464,-0.4855078157817008,IS.ST,2.0323801040649414,2.134000062942505,0.05000046924013599,0.04879061106469968
80471,BACTIGUARD HOLDING AB (PUBL),8690,2018,2017,1.61,,3870.0,1.91,0.0,82.11,3.23,1.79,2.05,2.8,,66.0,0.01,18298.0,0.62,-1010.0,-396.0,-5.52,0.0,-2.14,47162.0,29302.0,61.9,76193.0,0.2,4.49,0.0,0.6035714285714288,0.4722332845730047,BACTI-B.ST,17.0,25.399999618530273,0.4941176246194279,0.4015358149497816
80473,AURIANT MINING AB,2441,2018,2017,-0.3,,4286.0,3.09,0.0,19.7,1.21,0.19,0.88,0.26,,483.0,0.02,36795.0,0.49,-2305.0,-2328.0,-6.26,5.87,,-22660.0,74847.0,-34.42,65832.0,0.12,0.28,0.0,0.07692307692307697,0.07410797215372204,AUR.ST,6.199999809265138,2.440000057220459,-0.6064515915671193,-0.9325511985312396
80474,GOMSPACE GROUP AB,6190,2018,2017,0.86,,-5522.0,1.74,0.0,275.11,16.39,3.95,4.03,10.48,,176.0,-0.31,11745.0,0.45,-8104.0,-6578.0,-69.0,-30.21,-35.89,22577.0,26257.0,59.19,38142.0,0.11,1.14,0.0,-0.8912213740458015,-2.218440416486492,GOMX.ST,41.64849853515625,39.44469833374024,-0.05291427731916309,-0.05436566963845417
80475,KAKEL MAX AB,2561,2018,2017,1.32,,535.0,2.18,0.0,7.03,5.73,1.71,3.64,2.31,,35.0,0.02,12024.0,3.96,36.0,454.0,0.3,1.05,0.9,4016.0,3039.0,41.4,9702.0,1.07,1.22,0.0,-0.4718614718614719,-0.6383966657885369,KAKEL.ST,47.5,16.600000381469727,-0.650526307758532,-1.0513269926979942
80476,MULTIQ INTERNATIONAL AB,2620,2018,2017,0.07,,597.0,1.36,0.0,9.16,0.1,0.07,0.09,0.07,1.0,71.0,0.0,15889.0,0.13,-156.0,152.0,-0.98,-0.74,-1.75,8904.0,123265.0,57.53,15477.0,0.03,0.08,0.0,0.14285714285714274,0.13353139262452254,MULQ.ST,0.6899999976158142,0.6399999856948853,-0.0724637856430378,-0.07522344013398782
80478,MANGOLD AB,6492,2018,2017,21.53,,,,0.0,24.02,56.16,40.02,37.04,53.36,,79.0,,17068.0,37.91,1958.0,1436.0,11.47,,20.2,9695.0,450.0,16.99,57065.0,,75.37,0.0,0.4124812593703149,0.34534791624801026,MANG.ST,356.0,575.0,0.6151685393258427,0.4794393099453199
80479,STILLE AB,3250,2018,2017,1.8,,2192.0,4.06,0.15,31.32,8.53,5.13,5.57,6.49,5.0,52.0,0.48,15042.0,3.12,2221.0,1729.0,14.77,25.13,25.6,8675.0,4828.0,77.11,11250.0,0.83,6.94,0.023112480739599383,0.06933744221879817,0.06703924380271457,STIL.ST,54.75,63.79999923706055,0.16529678971800085,0.1529758096958353
80481,JLT MOBILE COMPUTERS AB,2620,2018,2017,0.2,,973.0,2.49,0.02,15.16,1.01,0.49,0.59,0.54,,28.0,0.04,13731.0,0.49,1136.0,831.0,8.27,,20.15,5638.0,27902.0,61.9,9109.0,0.13,0.44,0.037037037037037035,-0.18518518518518529,-0.20479441264601328,JLT.ST,6.300000190734862,4.114999771118163,-0.3468254529309514,-0.42591088516517545
80482,STOCKWIK FORVALTNING AB,4651,2018,2017,0.97,,1304.0,0.7,0.0,5.87,2.98,1.64,2.56,1.77,1.3,45.0,-0.14,10673.0,3.21,-646.0,877.0,-6.05,-10.05,-20.0,3229.0,3325.0,42.95,7517.0,0.15,2.56,0.0,0.4463276836158192,0.36902771190573336,STWK.ST,19.5,23.399999618530273,0.19999998043744996,0.18232154049182944
80483,ARCOMA AB,2670,2018,2017,0.39,,-423.0,1.52,0.0,11.55,1.3,0.43,0.46,0.91,,33.0,-0.1,11190.0,0.88,-1343.0,-1196.0,-12.01,-24.81,-27.0,4975.0,12645.0,59.95,8298.0,0.2,1.52,0.0,0.6703296703296703,0.5130210143294264,ARCOMA.ST,4.429999828338623,7.4000000953674325,0.6704289801615283,0.5130804677903178
80484,BIMOBJECT AB,6201,2018,2017,0.15,,-5995.0,3.19,0.0,153.74,2.52,0.97,0.97,1.49,,129.0,-0.06,10284.0,0.1,-6189.0,-6276.0,-60.18,-39.16,-39.47,15683.0,103435.0,69.57,22545.0,,1.92,0.0,0.2885906040268456,0.2535490660823224,BIM.ST,17.0,18.0,0.05882352941176471,0.05715841383994862
80485,ANOTO GROUP AB,2620,2018,2017,0.33,,-4505.0,1.61,0.0,54.09,1.9,0.35,0.55,0.53,0.02,35.0,-0.04,21078.0,0.21,-6847.0,-6434.0,-32.48,-17.1,-20.39,33589.0,102067.0,68.99,48685.0,0.05,0.26,0.0,-0.5094339622641509,-0.7121953755306398,ANOT.ST,3.240000009536743,4.25,0.3117283912007356,0.2713456501886482
80486,XBRANE BIOPHARMA AB,2120,2018,2017,1.81,,-5006.0,1.57,0.0,47.72,12.76,3.87,5.12,8.01,,18.0,-0.89,2829.0,0.47,-5474.0,-5474.0,,-48.05,-50.83,10771.0,5957.0,79.67,13519.0,0.01,5.12,0.0,-0.3607990012484393,-0.4475363220288514,XBRANE.ST,36.30970001220703,59.25210189819336,0.6318532479825852,0.4897163309194295
80489,CLAVISTER HOLDING AB,4643,2018,2017,1.08,,-5258.0,1.98,0.0,68.61,7.19,2.01,5.6,2.91,,166.0,-0.4,12208.0,0.52,-10190.0,-8089.0,-83.47,-28.61,-39.88,25552.0,23562.0,69.42,36807.0,0.09,1.69,0.0,-0.4192439862542956,-0.5434245522484191,CLAV.ST,48.70000076293945,18.76000022888184,-0.6147843955855102,-0.9539520899760491
80491,MAXFASTIGHETER I SVERIGE AB,9499,2018,2017,4.62,,,0.28,0.14,45.81,4.39,3.05,4.2,3.14,,6.0,0.46,10920.0,0.75,6631.0,5495.0,60.72,6.1,9.84,67370.0,14573.0,38.53,174845.0,,3.27,0.0445859872611465,0.04140127388535028,0.040567184988999916,MAXF.ST,29.10000038146973,27.899999618530273,-0.0412371390793379,-0.04211151213180226
80492,NEXAM CHEMICAL HOLDING AB (PUBL),2229,2018,2017,0.35,,-339.0,3.15,0.0,75.31,1.77,0.79,1.49,1.16,,17.0,-0.04,2355.0,0.04,-2806.0,-700.0,,-9.37,-12.28,22845.0,64724.0,66.55,34327.0,0.03,1.04,0.0,-0.10344827586206888,-0.10919929196499184,NEXAM.ST,12.649999618530273,9.479999542236328,-0.2505928989634427,-0.2884729170381971
80493,MODERN EKONOMI SVERIGE HOLDING AB,7490,2018,2017,0.12,,93.0,1.48,0.0,7.23,0.63,0.38,0.57,0.49,,137.0,-0.01,13196.0,0.89,-178.0,-195.0,-1.35,-4.04,-10.11,1765.0,14774.0,25.82,6836.0,,0.4,0.0,-0.18367346938775506,-0.2029408439966903,ME.ST,4.010000228881837,3.619999885559082,-0.09725693792079984,-0.10231730417207477
80494,ENDOMINES AB,2441,2018,2017,0.53,,-1242.0,0.95,0.0,21.08,3.01,1.5,2.29,2.01,,40.0,-0.75,14790.0,1.41,-8437.0,-8437.0,-57.05,-48.91,-152.6,5529.0,10486.0,28.26,19561.0,-0.11,0.67,0.0,-0.6666666666666666,-1.0986122886681096,ENDO.ST,10.05840015411377,8.078940391540527,-0.19679668060965602,-0.2191473973461104
80495,CONFIDENCE INTERNATIONAL AB,8020,2018,2017,5.79,,-957.0,0.79,0.0,3.18,15.72,4.46,13.4,5.36,,69.0,-1.91,15199.0,25.64,-1220.0,-1220.0,-8.03,-27.84,-35.54,3432.0,593.0,35.17,9759.0,1.62,0.73,0.0,-0.8638059701492539,-1.9936747199224107,CONF.ST,25.190900802612305,8.843600273132324,-0.6489367195548942,-1.0467887855974771
80496,DELARKA HOLDING AB (PUBL),6820,2018,2017,10.54,,,0.76,0.97,67.92,14.74,13.28,14.56,13.58,,,1.86,12299.0,2.46,-2682.0,-1672.0,-21.81,-0.35,-5.09,52722.0,5000.0,35.86,147027.0,,12.84,0.07142857142857142,-0.05449189985272461,-0.05603282386873498,DELARK.ST,117.75,113.0,-0.040339702760084924,-0.04117591418418655
80499,SWEDENCARE AB,4778,2018,2017,0.53,,2180.0,2.94,0.0,50.53,3.89,2.68,3.11,3.2,,24.0,0.13,10436.0,0.66,1975.0,1440.0,18.92,21.13,23.49,8409.0,15771.0,72.91,11533.0,0.13,5.12,0.0,0.6,0.4700036292457354,SECARE.ST,24.0,34.0,0.4166666666666667,0.3483066942682158
80502,HOVDING SVERIGE AB,3230,2018,2017,0.28,,-3870.0,3.63,0.0,23.16,2.91,1.44,2.75,1.56,,33.0,-0.33,8044.0,0.54,-4994.0,-4994.0,-62.08,-93.93,-119.24,4188.0,14854.0,58.54,7154.0,0.12,1.77,0.0,0.13461538461538458,0.12629372532429206,HOVD.ST,12.726799964904785,6.972549915313722,-0.4521364416396023,-0.6017290041292246
80503,DOME ENERGY AB,610,2018,2017,2.84,,-2289.0,0.06,0.0,13.99,6.82,2.43,4.02,2.92,,16.0,4.14,10521.0,2.2,16596.0,16542.0,,109.58,122.05,13597.0,4786.0,21.71,62634.0,,2.59,0.0,-0.113013698630137,-0.119925740568744,DOME.ST,0.6499999761581421,0.5199999809265137,-0.2,-0.2231435513142097
80505,SINTERCAST AB,2651,2018,2017,1.47,,2388.0,5.91,0.34,56.15,10.6,7.74,10.05,7.92,1.0,21.0,0.31,7992.0,1.13,2156.0,2266.0,26.98,20.75,20.63,10453.0,7090.0,90.6,11538.0,0.28,9.02,0.042929292929292935,0.13888888888888884,0.13005312824819776,SINT.ST,78.75,64.40000152587889,-0.18222220284598212,-0.20116462090166293
80506,SIVERS IMA HOLDING AB,4652,2018,2017,0.26,,-1686.0,3.62,0.0,66.91,0.85,0.69,0.85,0.72,,90.0,-0.07,9567.0,0.1,-6343.0,-5558.0,-66.3,-16.13,-26.43,23994.0,93083.0,56.57,42417.0,0.04,0.74,0.0,0.027777777777777804,0.027398974188114558,SIVE.ST,5.301650047302246,7.460000038146973,0.4071091021828208,0.3415373175444879
80507,MACKMYRA SVENSK WHISKY AB,1101,2018,2017,1.12,,11.0,3.93,0.0,19.18,2.42,1.1,1.13,1.7,,41.0,0.01,9861.0,0.87,-1321.0,-1339.0,-13.4,0.2,-10.43,12673.0,11285.0,33.49,37841.0,2.16,1.38,0.0,-0.1882352941176471,-0.20854475189305707,MACK-B.ST,9.387869834899902,15.902000427246096,0.6938880392365014,0.5270265015052185
80508,AAC MICROTEC AB,2611,2018,2017,0.18,,-2615.0,2.66,0.0,37.55,1.52,0.47,1.08,1.23,,27.0,-0.11,1618.0,0.05,-3326.0,-3328.0,,-59.16,-59.54,5586.0,30519.0,72.02,7757.0,0.01,0.46,0.0,-0.6260162601626017,-0.9835429588833224,AAC.ST,6.1152400970458975,5.818210124969482,-0.048572086682238835,-0.04979135621131366
80509,POWERCELL SWEDEN AB (PUBL),2711,2018,2017,0.45,,-7370.0,5.53,0.0,239.1,6.06,2.74,3.47,4.63,,32.0,-0.16,5686.0,0.11,-8127.0,-8127.0,,-29.16,-35.32,23012.0,51646.0,68.92,33391.0,0.01,3.93,0.0,-0.15118790496760254,-0.16391744221697285,PCELL.ST,33.200000762939446,25.0,-0.2469879691115237,-0.2836740740343458
80510,SALTANGEN PROPERTY INVEST AB (PUBL),6820,2018,2017,15.68,,,0.75,1.19,66.97,16.39,13.4,13.65,14.56,,,1.96,9928.0,2.16,14864.0,11594.0,,10.85,20.6,72149.0,4600.0,43.0,167779.0,,14.02,0.08173076923076923,-0.03708791208791215,-0.03779316116209597,SAPIAB.ST,120.0,124.5999984741211,0.03833332061767578,0.03761685132508746
80512,ORGANOCLICK AB,7211,2018,2017,0.09,,-2645.0,1.38,0.0,63.05,0.95,0.67,0.85,0.85,,37.0,-0.04,9148.0,0.12,-3076.0,-3359.0,-33.63,-33.62,-46.51,6614.0,74466.0,53.34,12400.0,0.02,0.55,0.0,-0.3529411764705881,-0.4353180712578455,ORGC.ST,6.3499999046325675,5.480000019073486,-0.1370078580512078,-0.14734969344561968
80514,VERISEC AB,6201,2018,2017,0.67,,-2198.0,1.27,0.0,50.27,23.94,9.66,10.29,11.33,,71.0,-0.62,7438.0,1.68,-2755.0,-2782.0,-37.05,-91.78,-92.34,2984.0,4436.0,38.48,7754.0,0.1,10.94,0.0,-0.03442188879082088,-0.03502827804607984,VERI.ST,110.25,111.5,0.011337868480725623,0.01127407657321816
80516,POLYGIENE AB,4771,2018,2017,0.21,,-636.0,2.57,0.0,28.62,1.71,1.25,1.55,1.39,,13.0,-0.01,9220.0,0.45,-744.0,-659.0,-8.07,-17.0,-17.02,4372.0,20516.0,67.58,6469.0,0.12,0.63,0.0,-0.5467625899280575,-0.791339206739159,POLYG.ST,13.550000190734865,9.699999809265137,-0.2841328654816003,-0.3342606955561345
80517,PRECISE BIOMETRICS AB,2651,2018,2017,0.05,,-1549.0,3.1,0.0,57.93,0.54,0.15,0.39,0.16,0.4,35.0,0.0,9045.0,0.03,-1259.0,-2124.0,-13.92,-7.08,-7.09,17764.0,360231.0,76.89,23102.0,0.0,0.14,0.0,-0.12499999999999993,-0.1335313926245225,PREC.ST,3.130000114440918,1.3619999885559082,-0.5648562495981924,-0.8320788417897511
80520,KALLEBACK PROPERTY INVEST AB (PUBL),6831,2018,2017,11.73,,,1.47,1.22,60.48,17.54,14.62,15.23,16.57,,,2.09,8238.0,2.26,6604.0,5151.0,80.16,8.51,15.43,42809.0,3650.0,38.68,110662.0,,17.19,0.0736270368135184,0.037417018708509414,0.036733987956286435,KAPIAB.ST,127.0,136.0,0.07086614173228346,0.06846779927746083
80524,SOLNABERG PROPERTY AB,6820,2018,2017,10.77,,4590.0,0.96,0.97,55.2,15.32,12.79,14.44,14.68,,,0.45,7325.0,1.95,912.0,699.0,12.45,1.67,2.25,40481.0,3760.0,37.9,106812.0,,13.85,0.06607629427792916,-0.05653950953678475,-0.05820079055302205,SOLNA.ST,110.0,119.0,0.08181818181818183,0.07864312731911313
80526,GENERIC SWEDEN AB,6311,2018,2017,0.33,,-749.0,3.12,0.12,6.87,0.91,0.49,0.65,0.56,,15.0,0.05,9794.0,0.8,581.0,-842.0,5.94,12.13,14.15,4107.0,12292.0,65.65,6255.0,0.06,0.8,0.21428571428571425,0.4285714285714285,0.3566749439387324,GENI.ST,6.9000000953674325,5.8499999046325675,-0.15217393858296024,-0.1650797804829406
80527,ADVENICA AB (PUBL),6201,2018,2017,0.71,,-2298.0,2.33,0.0,30.78,3.72,1.68,2.47,1.95,,55.0,-0.26,7633.0,0.48,-4088.0,-3264.0,-53.55,-36.16,-36.23,11284.0,15788.0,76.75,14701.0,0.11,0.41,0.0,-0.7897435897435898,-1.559427491859439,ADVE.ST,16.49650001525879,13.25,-0.19679932181104293,-0.21915068568626755
80530,DIADROM HOLDING AB,6201,2018,2017,0.28,,924.0,2.55,0.11,14.9,2.49,1.36,1.46,2.05,,54.0,0.16,7501.0,1.03,1156.0,888.0,15.41,,56.28,2054.0,7282.0,61.7,3329.0,,1.23,0.05365853658536586,-0.4,-0.5108256237659905,DIAH.ST,11.881999969482422,16.149999618530273,0.3591987594689217,0.3068953786830864
80532,TRENTION AB,2932,2018,2017,9.77,,4332.0,48.4,0.0,23.54,6.94,5.97,6.27,6.21,,4.0,0.91,5211.0,1.38,2920.0,4321.0,56.05,10.38,7.89,37018.0,3788.0,98.26,37674.0,,6.7,0.0,0.07890499194847024,0.0759466304515331,TRENT.ST,52.0,60.4000015258789,0.16153849088228667,0.1497454116222373
80533,PRIME LIVING AB (PUBL),6831,2018,2017,6.57,,14733.0,0.38,0.09,140.22,16.81,8.16,10.72,9.5,,19.0,-0.02,6261.0,0.42,20803.0,14446.0,,12.25,21.45,96998.0,14756.0,34.04,284940.0,,0.67,0.009473684210526316,-0.9294736842105265,-2.6517693652036205,PRIME.ST,86.53189849853516,50.35869979858398,-0.4180331106518312,-0.5413417240234115
80534,SAVO-SOLAR OYJ,3511,2018,2017,0.07,,-5880.0,1.52,0.0,5.13,0.4,0.07,0.34,0.08,,37.0,-0.09,1025.0,0.02,-6794.0,-6794.0,,-116.99,-155.04,4382.0,66880.0,56.41,7769.0,0.02,0.01,0.0,-0.8750000000000001,-2.0794415416798357,SAVOS.ST,0.4576599895954132,0.2301899939775467,-0.4970283633903799,-0.6872214989223457
80535,SANIONA AB,4645,2018,2017,0.21,,-5925.0,3.78,0.0,81.4,6.7,3.16,5.0,3.74,,26.0,-0.32,2521.0,0.12,-6856.0,-5993.0,,-148.56,-149.56,4584.0,21763.0,77.78,5894.0,,3.57,0.0,-0.04545454545454555,-0.04652001563489293,SANION.ST,45.12879943847656,26.211599349975586,-0.4191824361357213,-0.5433185751156427
80537,ENZYMATICA AB,3250,2018,2017,0.15,,-3179.0,1.85,0.0,55.92,0.66,0.31,0.33,0.62,,21.0,-0.04,7795.0,0.09,-3761.0,-3831.0,-48.25,-25.8,-27.89,13486.0,90888.0,82.72,16304.0,0.01,0.25,0.0,-0.5967741935483871,-0.9082585601768908,ENZY.ST,2.861769914627075,3.844899892807007,0.3435391409892734,0.2953072822473021
80538,TOURN INTERNATIONAL AB (PUBL),5829,2018,2017,,,-4.0,1.51,0.0,,,,,,,18.0,,5992.0,,-79.0,-59.0,-1.32,-7.04,-7.85,1009.0,,38.13,2647.0,,,,,,TOURN.ST,16.200000762939453,13.800000190734865,-0.1481481764923766,-0.1603426833488395
80539,SMART EYE AB,2670,2018,2017,0.9,,-3769.0,1.48,0.0,60.01,7.71,4.45,7.31,6.06,,65.0,-0.51,5468.0,0.55,-5104.0,-5104.0,-93.35,-52.42,-57.07,8943.0,9911.0,72.64,12312.0,0.11,7.59,0.0,0.2524752475247525,0.22512179132631546,SEYE.ST,54.0,34.900001525878906,-0.3537036754466869,-0.4364971736344352
80540,ORTIVUS AB,4690,2018,2017,0.06,,-188.0,0.83,0.0,6.64,1.08,0.21,0.35,0.23,,22.0,-0.04,7164.0,0.24,-1414.0,-1414.0,-19.74,-61.01,-74.61,1895.0,29482.0,45.04,4208.0,0.03,0.18,0.0,-0.21739130434782614,-0.2451224580329851,ORTI-B.ST,4.585360050201416,2.443550109863281,-0.4670974398715002,-0.6294166855466358
80541,TORSLANDA PROPERTY INVESTMENT AB (PUBL),9499,2018,2017,11.74,,3379.0,1.11,0.97,36.11,18.27,14.13,14.95,16.87,,,1.78,6143.0,2.87,2772.0,2143.0,45.12,6.31,11.03,25128.0,2140.0,38.82,64724.0,,15.07,0.05749851807943094,-0.10669828097213993,-0.11283088391947292,TORSAB.ST,121.75,134.0,0.10061601642710473,0.0958700379882123
80542,EASTNINE AB (PUBL),6619,2018,2017,11.72,,,15.28,0.23,247.16,9.99,7.98,8.16,9.96,,7.0,0.72,1070.0,0.04,20490.0,20490.0,,,7.05,290779.0,24816.0,99.58,292020.0,,10.37,0.023092369477911646,0.041164658634537984,0.04033995064492895,EAST.ST,93.86920166015624,87.5999984741211,-0.06678658255486351,-0.06912136105016413
80545,CELLINK AB,7211,2018,2017,1.09,,71.0,8.23,0.0,80.49,18.11,4.49,4.74,11.72,,16.0,0.01,1981.0,0.29,17.0,19.0,0.86,0.45,0.23,7489.0,6866.0,86.75,8632.0,0.06,16.02,0.0,0.3668941979522184,0.3125411574913465,CLNK-B.ST,31.0,134.5,3.338709677419355,1.4675769945567476
